code, system, display
0000000918, HPNSRVCODE, PODIATRIST CENTER
0000000919, HPNSRVCODE, EYE/VISION CENTER
0000000920, HPNSRVCODE, PHYSICAL THERAPY - CLINIC SPECIALTY
0000000921, HPNSRVCODE, SPEECH THERAPY- CLINIC SPECIALTY
0000000922, HPNSRVCODE, METHADONE MAINTENANCE TREATMENT PROGRAM
0000000923, HPNSRVCODE, OCCUPATIONAL THERAPY- CLINIC SPECIALTY
0000000924, HPNSRVCODE, REHABILITATION MEDICINE- CLINIC SPECIALTY
0000000925, HPNSRVCODE, HYPERTENSION
0000000926, HPNSRVCODE, HEMATOLOGY CENTER/CLINIC
0000000927, HPNSRVCODE, CARDIOLOGY CENTER
0000000928, HPNSRVCODE, CARDIOVASCULAR
0000000929, HPNSRVCODE, PULMONARY
0000000930, HPNSRVCODE, GASTROENTEROLOGY
0000000931, HPNSRVCODE, NEUROLOGY CENTER
0000000932, HPNSRVCODE, NEUROSURGERY CLINIC
0000000933, HPNSRVCODE, CANCER DETECTION CENTER
0000000934, HPNSRVCODE, ONCOLOGY - THERAPY (RADIATION OR CHEMO)
0000000935, HPNSRVCODE, EAR, NOSE & THROAT- CLINIC SPECIALTY
0000000936, HPNSRVCODE, PEDIATRIC GENERAL MEDICINE
0000000937, HPNSRVCODE, PEDIATRIC ALLERGY
0000000938, HPNSRVCODE, PEDIATRIC NEUROLOGY
0000000939, HPNSRVCODE, PEDIATRIC HEMATOLOGY
0000000940, HPNSRVCODE, PEDIATRIC CARDIAC
0000000941, HPNSRVCODE, PEDIATRIC RENAL
0000000942, HPNSRVCODE, PEDIATRIC PULMONARY
0000000943, HPNSRVCODE, PEDIATRIC ORTHOPAEDIC
0000000944, HPNSRVCODE, PEDIATRIC ENDOCRINE
0000000945, HPNSRVCODE, PSYCHIATRY - INDIVIDUAL
0000000946, HPNSRVCODE, PSYCHIATRY - GROUP
0000000947, HPNSRVCODE, PSYCHIATRY - HALF DAY CARE
0000000948, HPNSRVCODE, PSYCHIATRY - FULL DAY CARE
0000000949, HPNSRVCODE, ALCOHOLISM TREATMENT PROGRAM
0000000950, HPNSRVCODE, ORTHOPEDIC CLINIC/CENTER
0000000951, HPNSRVCODE, SURGICAL, MINOR
0000000952, HPNSRVCODE, SURGICAL, GENERAL
0000000953, HPNSRVCODE, UROLOGY
0000000954, HPNSRVCODE, NEPHROLOGY
0000000955, HPNSRVCODE, GENITO-URINARY
0000000956, HPNSRVCODE, DERMATOLOGY CENTER/CLINIC
0000000957, HPNSRVCODE, CONTRACT CARRIER
0000000958, HPNSRVCODE, OPHTHALMOLOGY CENTER/CLINIC
0000000959, HPNSRVCODE, OUTPAT CHEM DEPENDENCY PROG FOR YOUTH
0000000960, HPNSRVCODE, PEDIATRIC DERMATOLOGY
0000000961, HPNSRVCODE, PEDIATRIC DIABETES
0000000962, HPNSRVCODE, PEDIATRIC SURGERY
0000000963, HPNSRVCODE, CHILD PSYCHIATRY
0000000964, HPNSRVCODE, PSYCHIATRY - GENERAL
0000000965, HPNSRVCODE, TUBERCULOSIS
0000000966, HPNSRVCODE, INFECTIOUS DISEASES
0000000967, HPNSRVCODE, PHC SPEECH AND HEARING
0000000968, HPNSRVCODE, AMPUTEE CENTER
0000000969, HPNSRVCODE, HOSPITAL DME, ORTHOTIC & PROSTHETIC APPLICANCE VENDOR
0000000970, HPNSRVCODE, NURSING HOME HOSPITAL DAYCARE (NO CLAIM)
0000000971, HPNSRVCODE, MH CLINIC TREATMENT (STATE OPR)
0000000972, HPNSRVCODE, MH DAY TREATMENT (STATE OPR)
0000000973, HPNSRVCODE, MH CONTINUING TREATMENT (STATE OPR)
0000000974, HPNSRVCODE, MENTAL HEALTH CLINIC TREATMENT
0000000975, HPNSRVCODE, MENTAL HEALTH DAY TREATMENT
0000000976, HPNSRVCODE, MENTAL HEALTH CONTINUING TREATMENT
0000000977, HPNSRVCODE, MR/DD CLINIC TREATMENT (STATE OPR)
0000000978, HPNSRVCODE, PREFERRED PRIMARY CARE CLINIC
0000000979, HPNSRVCODE, MR/DD CLINIC TREATMENT
0000000980, HPNSRVCODE, T.B. DIRECTLY OBSERVED THERAPY/CLINIC
0000000981, HPNSRVCODE, DIAG AND RESEARCH CLINIC MR (STATE OPR)
0000000982, HPNSRVCODE, APNEA CENTER
0000000983, HPNSRVCODE, SPECIALTY CLINIC - MENTAL RETARDATION
0000000984, HPNSRVCODE, ALCOHOLISM CLINIC TREATMENT (STATE OPR)
0000000985, HPNSRVCODE, ALCOHOLISM DAY REHAB (STATE OPR)
0000000986, HPNSRVCODE, ALCOHOLISM CLINIC TREATMENT
0000000987, HPNSRVCODE, ALCOHOLISM & SUBSTANCE ABUSE OUTPATIENT REHABILITATION SERVICES
0000000988, HPNSRVCODE, COMPREHENSIVE ALCOHOLISM CARE
0000000989, HPNSRVCODE, ALCOHOLISM & SUBSTANCE ABUSE MEDICALLY MANAGED DETOXIFICATION SERVICES
0000000990, HPNSRVCODE, COMP PHYSICAL EXAM (SCHOOL HEALTH PROJ)
0000000991, HPNSRVCODE, ROUTINE VISIT (SCHOOL HEALTH PROJECT)
0000000992, HPNSRVCODE, OMH COMPREHENSIVE PSYCHIATRIC EMERGENCY PROG
0000000993, HPNSRVCODE, HOSPITAL-BASED AND/OR FREESTANDING AMBULATORY SURGERY
0000000994, HPNSRVCODE, BLOOD PRODUCTS (ORDERED AMBULATORY)
0000000995, HPNSRVCODE, GENETIC COUNSELING (ORDERED AMBULATORY)
0000000996, HPNSRVCODE, HEARING SERVICES (ORDERED AMBULATORY)
0000000997, HPNSRVCODE, OPERATING ROOM (ORDERED AMBULATORY)
0000000998, HPNSRVCODE, RADIOLOGY (ORDERED AMBULATORY)
0000000999, HPNSRVCODE, OTHER
pharm, http://hl7.org/fhir/us/davinci-pdex-plan-net/CodeSystem/HealthcareServiceCategoryCS, Pharmacy
